cluster_id	x	y	num_recent_articles	cluster_category	growth_rating	key_concepts
78790	-33.6293	163.9988	20	0	87.49	100360,37695,174074,6944,228528
43297	-53.6389	140.072	122	0	72.46	4230,126003,20177,101440,189531
30285	-42.5089	151.2415	236	0	50.61	83750,112849,14387,55727,150748
17714	-43.1744	233.9317	188	0	29.42	75390,171732,40375,84385,96238
75167	-46.2588	150.8945	61	0	71.74	83750,99437,221363,49390,76531
71430	-43.1169	157.0287	42	0	92.59	206314,190611,30345,69263,223224
8662	-40.9208	195.7884	288	0	17.69	159772,83750,163735,83763,159771
23617	-9.6708	113.1966	277	0	44.42	200040,254844,171662,118860,92087
57415	-45.6918	152.1312	25	0	98.88	21120,14387,5172,83750,55728
67336	-43.7085	244.4653	41	0	78.77	75329,190014,190016,10555,10557
36595	-46.1112	152.9324	105	0	79.69	204806,245389,105219,135537,254881
47090	-37.1362	142.7306	237	0	27.7	115367,91341,97176,156701,135560
35213	-52.3433	142.9572	377	0	37.63	113009,213624,272496,241317,213623
80691	-39.9834	146.1504	55	0	4.35	119983,49396,71387,128532,30690
61827	-57.6418	177.9724	40	0	61.28	190602,13826,105595,105596,175751
42767	-41.4131	128.292	155	0	56.7	75760,59451,209692,62342,247554
76853	-49.5432	120.4838	50	0	94.74	85941,75383,179513,251321,140224
49547	-6.3048	111.8258	133	0	80.16	120352,247514,270762,146814,252277
73705	-49.9997	153.0029	21	0	95.22	24825,59427,252298,195531,235053
65130	-46.4098	143.0965	134	0	41.75	190625,245078,91477,5673,257063
60052	-46.0528	239.9827	58	0	45.35	213852,157379,227237,20302,173102
61990	-57.496	152.8449	112	0	83.22	242178,57334,252296,112867,84939
34090	1.1071	153.0845	157	0	75.55	190034,6352,190018,273271,208201
41256	-70.626	174.5541	48	0	6.22	163311,274245,57334,163310,13214
27625	-29.159	164.3154	187	0	43.86	66865,53800,231888,250073,272408
41818	-4.0907	132.5382	95	0	66.28	144649,258674,126243,192948,172186
31554	-3.3294	151.2658	274	0	3.09	116540,143030,40619,88461,112812
21029	-50.7459	174.3716	209	0	41.12	30882,165338,254857,33572,24857
61381	16.9073	122.3077	340	0	65.01	217076,16932,88786,44253,190033
52993	-17.932	132.3207	151	0	50.51	190619,192786,115414,252267,74452
72695	-43.33	169.6572	34	0	91.52	223223,261327,26236,64829,69292
67630	-42.1283	243.4786	158	0	57.22	141896,140253,190029,264635,75429
45951	-22.3423	134.6066	43	0	4.04	103604,126120,72820,127276,157712
69696	-56.1616	197.5171	37	0	77.64	133280,144635,250089,29559,254838
42637	-14.9762	141.9156	81	0	65.54	197302,227911,57334,272408,9367
73986	-47.7443	136.9701	41	0	87.74	126271,16572,123864,229116,159742
57438	-61.0184	152.038	74	0	87.5	154704,8250,60967,93225,8262
68374	-33.6403	153.6511	49	0	72.15	105304,171423,179914,105305,122061
49317	-39.2235	172.0651	103	0	62.16	30882,192948,192468,219254,59033
42710	-23.7082	151.7539	103	0	60.4	256023,99451,210945,40655,210947
35117	6.2041	125.2882	200	0	6.12	62188,190029,8072,103050,153187
15775	-48.0576	104.7717	202	0	70.61	40289,208206,85943,208200,45292
32780	-5.7102	127.9681	226	0	52.67	190606,4184,171428,15618,254876
64839	14.4304	125.0472	182	0	65.36	44258,208182,11886,44252,116239
37138	-33.062	139.3688	237	0	31.52	115367,268118,108626,162170,78502
67966	-21.7607	120.945	129	0	92.7	30700,192975,272704,250393,182253
18991	-13.879	120.6884	308	0	24.12	9357,126125,91486,252281,223855
45455	9.0538	121.7126	282	0	82.49	57198,193059,193082,23762,21912
77293	10.9696	140.0441	83	0	35.73	226563,33397,54578,226566,21868
78672	5.7002	135.1534	99	0	67.47	114473,92786,269299,103871,120854
68307	18.8941	125.3225	127	0	83.07	44253,26508,45331,134218,44261
35051	15.3093	125.9234	251	0	39.18	26508,9139,16032,22337,246911
49305	9.291	120.7993	258	0	58.41	171671,192948,23413,40606,96647
79639	347.0079	-199.9198	39	0	19.71	227366,68124,20749,30573,17561
38520	17.8689	122.9307	231	0	15.55	26508,207306,207304,54583,120276
66163	2.8856	126.1855	102	0	68.19	77140,8079,255322,167275,213239
43258	4.2769	119.9907	28	0	49.85	121192,38043,59449,192411,59458
72368	19.0558	120.5102	100	0	34.84	7216,7217,34996,26510,254792
41030	-16.9213	117.4046	162	0	52.43	122852,113922,162940,137079,6289
47949	13.7986	126.5742	176	0	77.75	26508,119545,246910,156473,254881
67087	14.259	121.3188	85	0	73.91	51294,245185,236276,52597,69264
53024	12.3819	123.0165	116	0	69.11	36452,61562,88798,91488,191282
39828	57.0049	144.1833	170	0	58.64	54029,219254,12441,19602,191252
82707	-20.9211	131.6828	24	0	96.51	140354,81386,41052,56741,60450
58885	21.8366	147.7681	122	0	12.07	254826,138238,261327,138185,53998
80150	-0.2223	135.0829	30	0	54.05	192906,204770,40737,262375,182243
75314	10.2098	138.457	66	0	74.78	77133,104365,233861,113926,77134
56772	11.7208	37.4179	86	0	87.73	49621,188369,123583,188368,254931
64511	-4.8535	136.5005	142	0	41.28	85357,21932,272440,8880,135479
